Ministere / Entite;Acheteur;Libelle du projet achat;Code nomenclature Etat; Libelle nomenclature Etat;Perimetre organisationnel;Perimetre geographique;Region si perimetre geographique regional;Date envisagee pour la notification;Duree envisagee en mois, toutes periodes incluses hors garantie;Montant previsionnel HT (toutes periodes de reconduction incluses);annee
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Lyon;MBC pour l'execution de travaux d'entretien et d'adaptations mineurs tous corps d'etat - BDD GAC - departement de la SAVOIE LOT 4 : peinture;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;ESID-ESID BORDEAUX-Accord-cadre e bons de commande pour l'achat de founitures et materiaux  5 lots : electricite, peinture, quincaillerie, plomberie/chauffage, materiaux de construction;36.05.06;Materiel et petit equipement electrique;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 1er trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;16 - ANGOULEME- Desamiantage toiture BUSSAC (2eme semestre);36.02.06;Travaux de depollution, decontamination;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 1er trim;12;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;16-BDD ANGOULEME-Externalisation de la regie - marche de SOS depannage sur tous corps d'etat;37.05.02;Contrat de maintenance multitechniques;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 decembre;48;entre 1 MEuros et 10 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - BORDEAUX - SAINT JEAN D'ILLAC - Amelioration des aires de securite;36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2020 3eme trim;12;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;19 - BRIVE LA GAILLARDE - BDD BRIVE -Accord-cadre e bons de commande de travaux de genie agricole;37.01.03;Entretien espaces verts et exterieurs;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;48;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - CAZAUX - LA TESTE - BA 120 - Securisation protection defense;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 3eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;33 - CAZAUX - LA TESTE - BA 120 - Accueil de l'Escadron d'entraenement eeCete d'oree 02.002;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 4eme trim;12;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;Accord-cadre e bons de commande pour l'execution des travaux forestiers et de debroussaillement divers dans les emprises et sites militaires de Biscarrosse (40) et de Cazaux (33) dependant de l'USID de Cazaux   Lot ne2 : Travaux forestiers et de debroussaillement divers au profit de la BDD de Cazaux et de la DGA Essais en vols de Cazaux;37.01.03;Entretien espaces verts et exterieurs;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 3eme trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;40 - MONT DE MARSAN - BDD MONT DE MARSAN - Traitement des eaux industrielles du CTPE de Captieux;37.02.03;Maintenance plomberie et assainissement interieur;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 3eme trim;48;< 100 KEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;82 - MONTAUBAN - BDD MONTAUBAN - Marche de maintenance des compresseurs;37.02.10;Maintenance equipements industriels;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 2nd trim;48;< 100 KEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;64 - PAU - PAU BOITEUX Construction plateau sport de combat;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;12;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;64 - PAU - DAX Adaptation hangar pour accueil DFSA;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;12;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;64 - PAU - BDD PAU - Marche e bons de de commande sur bordereau de prix pour l'execution des travaux de maintenance et d'ameliorations mineures dans les immeubles militaires dependant de l'USID de PAU Marche de Plomberie - Chauffage - Sanitaire - Ventilation Lot 1 Garnison de Pau et Garnison de Tarbes;37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2020 3eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;64 - PAU - BDD PAU - Accord-cadre e bons de commande relatif e l'entretien des SHOA, reseaux d'eau, stations de relevage et traitement des eaux usees, vidanges des rejets sanitaires (canins et fosses septiques), bacs e graisses de tous les sites de la Base de Defense de PAU;37.02.09;Maintenance de voierie et reseaux divers (VRD), hors route;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 3eme trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;31 - TOULOUSE - PAMIERS - Extension de la salle d'honneur;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;31 - TOULOUSE - ML - PAMIERS - Renovation du poste d'accueil et de filtrage - 1e RCP - Quartier BEAUMONT;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;31 - TOULOUSE - Construction d'une antenne medicale - PRADERES;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;12;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;31 - BDD TOULOUSE - Accord-cadre e bons de commande  MCO des installations des systemes de securite incendie (SSI), des systemes de detection incendie (SDI) et des systemes de mise en securite incendie (SMSI) des organismes de la Base de Defense de TOULOUSE-CASTRES;37.02.08;Maintenance instal systeme de securite incendie (SSI);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;17 - ROCHEFORT - COGNAC - Accueil du drene MALE - REAPER;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 4eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;17 - ROCHEFORT - Construction Mess unique;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;12;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Bordeaux;17 - ROCHEFORT - BDD ROCHEFORT - Accord-cadre e bons de commande relatif e l'exploitation, la maintenance et aux travaux d'entretien, d'amelioration et d'adaptation mineure des installations de chauffage, de ventilation, de climatisation, de production d'ECS et de plomberie sanitaire BdD ROCHEFORT sur la Charente (16) et Charente-Maritime (17);37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 4eme trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Base navale Toulon - Remise en etat du quai Dupuy de Leme;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministeriel;Regional ou infra;PACA;2020 4eme trim;12;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Centrale de production PA - Travaux;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;PACA;2020 4eme trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Base navale - SD restauration - Refonte du centre TITAN;36.04.03;etude prealable, audit, expertise lies aux travaux;Ministeriel;Regional ou infra;PACA;2021 4eme trim;12;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Refonte poste 63 kV Malbousquet dont 1 transfo;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministeriel;Regional ou infra;PACA;2021 4eme trim;12;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Toulon;Accord-cadre e bons de commande pour renovation des postes HT/BT obsoletes de la BDD de Toulon.;37.02.01;Maintenance instal electr (courant faible et fort, HT-BT);Ministeriel;Regional ou infra;PACA;2020 4eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Renovation du reseau electrique Preparation;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2018 decembre;24;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;BPIA - Rehabilitation reseaux humides : pluviales+usees+potable+incendie de CRISSEY TF + 3 TO;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;GRAND EST;2019 4eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Construction d'un PAF au quartier Maunoury;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;GRAND EST;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;CVPO - BELFORT (90) - BDD de Belfort - realisation des CVPO.;37.05.03;Contrat multiservices-multitechniques;Ministeriel;Regional ou infra;GRAND EST;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;MECI - BDD  de strasbourg (67) - Maintenance preventive et verification des portes, portails, barrieres et rideaux metalliques, automatiques et manuels.;37.02.06;Maintenance portes et portails;Ministeriel;Regional ou infra;GRAND EST;2018 decembre;12;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;BOUROGNE (90) - 1ER RA - Quartier  AILLERET - Renovation du batiment 0030 - TRAVAUX;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2020 4eme trim;12;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Refection de la toiture HM5;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;GRAND EST;2020 4eme trim;12;entre 100 KEuros et 1 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;BOUROGNE - 1er RA - construction d'une chaufferie CCAEM;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;GRAND EST;2020 4eme trim;72;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Transformation du cinema en amphitheetre PI;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2021 3eme trim;48;< 100 KEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;AUXONNE - BONAPARTE- 511RT- preservation de la tour du signe;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;GRAND EST;2018 octobre;24;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Creation d'un betiment d'hebergement cadres celibataires (47 PLACES) - MOP;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;GRAND EST;2018 novembre;60;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Amenagement d'atelier/magasin appros/multi technique - HM6 dans le hangar HM5 PREPA;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2018 novembre;72;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Adaptations liees e la dissolution de la BA 102;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2021 3eme trim;96;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;RAVALEMENT DES FAeADES DU HM1;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2021 3eme trim;24;< 100 KEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;BA 116 - Mise aux normes FRA 145;36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;GRAND EST;2018 octobre;24;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Renforcement de l'entree principale de la BA116;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2021 3eme trim;24;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Confortement du batiment et du mur de soutenement Bet 006 (poste de securite);36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;GRAND EST;2019 3eme trim;72;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;WOIPPY (57) - Et. COL Clerc - Det. 8 RMAT - Bet. 005 - Refection des menuiseries;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2021 3eme trim;24;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Adaptation de l'atelier 007 aux AMX 10 RC;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2021 4eme trim;24;entre 100 KEuros et 1 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;SISSONNE CENZUB Q.Orleans Creation d'une nouvelle ZED - MOP concours;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;GRAND EST;2019 1er trim;36;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Installations techniques pour l'accueil du VBMR phase 3;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2020 4eme trim;24;entre 1 MEuros et 10 MEuros;2020
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Sissonne - RENOVATION DES RESEAUX AEP DU CAMP et construction STEP;36.03.02;Tvx rehabilitation infra transports, routes (yc revetement);Ministeriel;Regional ou infra;GRAND EST;2019 3eme trim;120;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Construction d'une structure d'hebergement modulaire (80 places);36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;GRAND EST;2021 4eme trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;BCC place de NANCY;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2021 4eme trim;24;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Renovation/adaptation de l'antenne medicale;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;GRAND EST;2019 4eme trim;72;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;BITCHE - Quartier LCL DRIANT - Betiment 214 - Reorganisation et mise aux normes de la fonction alimentation;36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;GRAND EST;2021 3eme trim;72;entre 1 MEuros et 10 MEuros;2021
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;programme SCORPION/VBMR NTI - TVX;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;GRAND EST;2019 3eme trim;24;entre 1 MEuros et 10 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;"Mise en securite de l'ICPE ""banc d'essai reacteur""";36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;GRAND EST;2018 octobre;24;entre 100 KEuros et 1 MEuros;2018
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;Augmentation de la capacite hebergement canin de la cellule cynophile;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;GRAND EST;2019 4eme trim;24;entre 100 KEuros et 1 MEuros;2019
Ministere des Armees;Service d'infrastructure de la defense / Etablissement du service d'insfrastructure de la defense de Metz;STRASBOURG (67) - Cercle mixte de garnison - Mise aux normes accessibilite et evacuation incendie des personnes handicapees - MOP;36.02.04;Travaux de mise aux normes betiment;Ministeriel;Regional ou infra;GRAND EST;2018 novembre;24;entre 100 KEuros et 1 MEuros;2018
